Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language (Tweets) ,Country,Location (Tweets) ,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
https://t.co/U6p9YPmZki,2019/11/26 8:33,149,2417,2566,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Undetermined,,,,,,,,http://pbs.twimg.com/media/EKQXRvRUcAA9AmK.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
Mad Max Director Celebrates Death Stranding (George Miller) - YouTube https://t.co/36o8hikVqG,2019/11/26 11:30,95,602,697,0,0,1,0,Kojima_Hideo,,Original Tweet,Text,いいえ,いいえ,English,,,,,,,https://www.youtube.com/watch?v=_6Hv0sDp8RE,,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"デスストの“配送センター”の事をコジプロでは「ナビオ」と呼んでます。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/qHMsUY7VaA",2019/11/26 12:08,1983,5573,7556,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKRIdDYVUAAyxq-.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
黒川博行先生の新刊「桃源」を購入。全く新しい大阪府警のバディ物となると、もう読むしかない！ https://t.co/4nGKOjv7LM,2019/11/26 13:01,25,175,200,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EKRUlyVUUAA_9hz.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"みなさん、DEATH STRANDINGの事を、どう言ってますか？

DS？
デススト？

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/AFJhJqracl",2019/11/26 13:22,488,2911,3399,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKRZW2wUYAAlG-Q.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"ファティ・アキン監督からDEATH STRANDINGのコメントをいただきました。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/GouxfzCdhW",2019/11/26 18:08,235,927,1162,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1199253262676815874/pu/img/kF0nSO-uBqsFYbD9.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"全世界のサム・“ポーター”・ブリッジズのみなさん、デスストがTGAにノミネートされました。ありがとうございます。投票はこちらです。

https://t.co/FFCRIOBba4 https://t.co/HCub4Wm9jM",2019/11/27 9:14,335,1525,1860,0,0,1,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,http://thegameawards.com/nominees,http://pbs.twimg.com/ext_tw_video_thumb/1199481389692805120/pu/img/o-pk_tglHWf3atSN.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
2016年の3月上旬の秘蔵映像。この12/16で独立4周年なので、当時の資料を発掘していたら出てきた。仮事務所で機材もスタッフもほぼゼロの頃。3月末に控えたノーマンのPキャプ用にカメラワークと情報量を決める為のラフプリビズ。僕と平沢君で作成。蟹は軍手。廊下は共有スペースだったのでゲリラ撮影。 https://t.co/1VWt11TYkx,2019/11/27 12:08,4831,16706,21537,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199525170924253184/pu/img/nZvhdC3eZeS9hBui.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
2016年8月上旬の秘蔵映像。今の事務所を借る事が出来て、スタッフも若干増えた頃。まだ廊下もキッチンも会議室も執務室もないのでこの絵が撮れた。8月末に控えたマッツのPキャプ用にカメラワークと情報量を決める為のラフプリビズ。英国での撮影時、この映像をマッツに見せて演技の参考にして貰った。 https://t.co/cPJHC2ePsb,2019/11/27 13:11,4189,14340,18529,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199541192771293184/pu/img/V0T9FNBpIKHpTmBa.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"MGSファン・イベント・バーミラーズの方々から、丁寧なファンレターと動画メッセージをいただきました。ありがとうございます。全てに目を通させていただきます。大変な4年間でしたが。デスストを創った甲斐があります。

#デスストでつながれ
#デススト
#DeathStranding????
#TomorrowIsInYourHands https://t.co/Zfm9RyYgEV",2019/11/27 13:26,204,1112,1316,4,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EKWjur0VUAAS9ck.jpg,http://pbs.twimg.com/media/EKWjur0VAAENj8t.jpg,http://pbs.twimg.com/media/EKWjusPVUAAWZfJ.jpg,http://pbs.twimg.com/media/EKWjur3UEAAp1Ac.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
映画公開時にコメントを寄稿させていただいた三作品。「たちあがる女」「ハイ・ライフ」「魂のゆくえ」。トランスフォーマーさんから、DVD、BDをいただきました。ありがとうございます。 https://t.co/t6CvNUBHen,2019/11/27 13:48,26,284,310,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EKWo1HaUEAAcwvU.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
2017年4月の秘蔵映像。隣が1ブロック空いたので、事務所を拡張。のちにスキャンルームと倉庫にする予定の何もない空きスペースで、死体処理班がBTに遭遇するシーンのカメラワークと演出の組み立てを、増えたスタッフと共にしているところ。仮のBBポッドはまだなく、ダンボールで流用。死体役はルド。 https://t.co/5p9OPx3NP1,2019/11/27 14:37,3085,10469,13554,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199562822213988352/pu/img/q_rqQwDmR_RaQNw6.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"Remedy Entertainment のリードデザイナーPaul Ehrethさんと再会。
Jacob Benton(Bungie)とDan Callan(Luminous Productions)とも記念撮影。 https://t.co/0hgoGr3RGz",2019/11/27 16:33,51,383,434,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKXOpO9U4AAoxGa.jpg,http://pbs.twimg.com/media/EKXOpO-UUAA-CaN.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
Mathieu Turi監督からいただいたHostileのプロップ。執務室の壁に飾りました。 https://t.co/eE0Cc2qVxK,2019/11/27 17:21,86,855,941,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKXZhQWUEAE6Q4I.jpg,http://pbs.twimg.com/media/EKXZhQkUUAAGt8w.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
これは僕のイメージをハンディカムで再現してフレームに入る情報量を知る為の工程。ストーリーボードは描くが、絵コンテは飛ばして、直撮影を優先。その方が早いし、人の動きとカメラワークが共有出来る。これを元にPキャプでの収録範囲、大道具、小道具を準備。CGも準備して本番のリハと収録に臨む。 https://t.co/M6OvqCamur,2019/11/27 17:45,1156,4207,5363,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199610027104849920/pu/img/krbvSE70NF49kq87.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
僕のイメージをまずハンディを使って実写で撮影、カメラワークと演出、フレーミングを決める。これらを元にPキャプでの撮影詳細設計図を作成、セット(ラフCGも)を準備。本読みをして貰った俳優さん達に実際に動いて演じて貰う。ここでアイデアを出し合って現場で演技や動きの修正を加える。本番撮影。 https://t.co/U26W9AQjYO,2019/11/27 19:53,2316,7437,9753,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199642275350867968/pu/img/K-udxiD4Q6Wj541V.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
冒頭の洞窟シーン。Pキャプ前の準備としての荒い初期プリビズ。動きとカメラワーク、演出と音をここで固める。構えられているハンディが実際の映像の参考になる。Pキャプでは撮影するカメラにマーカーをつけて同時収録するのが普通だが、僕らはハンディに簡易マーカーをつけて本番で回して参考にした。 https://t.co/WQOsHbShpD,2019/11/27 20:14,1981,7861,9842,0,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/1199647735860695040/pu/img/SeX1AVu-_MOxEes9.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
DEATH STRANDING のノヴェライズ本、早いところでは既に書店に並んでいるようです。帯にはサムとクリフ。 https://t.co/ufei9GBZFa,2019/11/27 21:05,322,1170,1492,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKYM3ltU0AAdXOz.jpg,http://pbs.twimg.com/media/EKYM3luU0AAz7kc.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
おはようございます。 https://t.co/djsP9Ilpxr,2019/11/28 8:03,338,3864,4202,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EKajZHUVUAI-4yZ.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
現在公開中の映画「象は静かに座っている (AN ELEPHANT SITTING STILL)」。コメント書いてます。フランスのメディアがコメントしていた様に、この映画は僕にとって、JOY DIVISIONを強く連想させた。若くして自ら命をたったフー・ボー監督がイアン・カーチスにも思える。今年のベスト3。オススメです。 https://t.co/lYWYXNkcR6,2019/11/28 13:53,146,588,734,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKbzpbaVAAIBlpf.jpg,http://pbs.twimg.com/media/EKbzpbaUUAALnG0.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
スコセッシ監督の「アイリッシュマン」を観ようとNETFLIX を立ち上げてみたが、今夜は時間が無いので、怖くて保留にしていたタイ産ホラー「THE EYE」を。心配する程ではなく、無事に観れた。主人公のアンジェリカ・リーが良かった。眼が印象的。ただある角度から観るとラルクのHYDEにも見えてしまう。 https://t.co/nPNQFeYiCY,2019/11/28 22:41,80,645,725,0,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKdsbJLVUAEE-_U.jpg,http://pbs.twimg.com/media/EKdsbJNVUAEu5mZ.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
ちょっとまだ時間があるので、「ウォーキング・デッド」シーズン10の8話を。 https://t.co/umfKGRLKVu,2019/11/28 22:45,89,894,983,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EKdtd4-UYAAMB2d.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"発売から3週間が経過。全世界のサム“ポーター“ブリッジズの皆さん、配達任務、国道建設、インフラ整備、通信敷設、ご苦労様です。そして、世界をひとつに繋いでくれてありがとうございます。引き続き宜しくお願いします。

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/ARstY4Nrbc",2019/11/29 0:04,6760,23174,29934,4,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKd_ZnUU4AAyBvy.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
おはようございます。 https://t.co/KQKK6HHA1d,2019/11/29 8:37,88,1070,1158,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,http://pbs.twimg.com/media/EKf06QRU0AIYoY9.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"Happy thanksgiving.???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/xmoXTUXCaE",2019/11/29 8:49,1056,4828,5884,5,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EKf3iQhUYAAG6fz.jpg,http://pbs.twimg.com/media/EKf3iRjUEAAP3LR.jpg,http://pbs.twimg.com/media/EKf3iUcUUAAQkfS.jpg,http://pbs.twimg.com/media/EKf3iXSU8AA1Yz7.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"PRIME1さんのサンプル、チェック中。サムの帽子のキーホルダーが良い感じ???????????

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/DdLEf85MYs",2019/11/29 10:15,443,2300,2743,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKgLOB8UcAAiR7c.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/wXSLcqjXq8",2019/11/29 12:26,66,430,496,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKgpRByUcAAUawm.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
2016年11月28日。 https://t.co/P0Ayh9Jjft,2019/11/29 12:48,1120,6679,7799,0,0,0,4,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,,,,"http://pbs.twimg.com/media/EKguRZaU0AEcBbL.jpg,http://pbs.twimg.com/media/EKguRZaUwAA7cEm.jpg,http://pbs.twimg.com/media/EKguRZaUcAAgdw3.jpg,http://pbs.twimg.com/media/EKguRagUUAA667t.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"1/2のサムの帽子型キーホルダー。まだサンプルだけど欲しい。でも返さないといけないので。

ブーツもテストで作ってもらいましょう。

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/hmT0E29Ru0",2019/11/29 13:08,283,1487,1770,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Japanese,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKgy-lZU0AEr0NX.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
https://t.co/Oomg41zhmN,2019/11/29 13:33,45,545,590,0,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,Undetermined,,,,,,,,http://pbs.twimg.com/media/EKg4g87UUAANZ3f.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/gDlHDKI3EK",2019/11/29 15:17,49,626,675,5,0,0,1,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/media/EKhQVcpUYAAAhOK.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/U9uBuhnmFI",2019/11/29 15:40,109,882,991,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1200301656660819968/pu/img/WQ_ALqEO-6jKi-Ra.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/a3FOBFUFIH",2019/11/29 18:27,93,723,816,5,0,0,2,Kojima_Hideo,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/EKh77-2UwAA7Wfx.jpg,http://pbs.twimg.com/media/EKh77-2UYAEGgTO.jpg",小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding????
#TomorrowIsInYourHands https://t.co/PA5Jlb59Df",2019/11/29 18:53,89,778,867,5,0,0,1,Kojima_Hideo,,Original Tweet,Video,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,WorldStrandTour2019,DeathStranding,TomorrowIsInYourHands",,,http://pbs.twimg.com/ext_tw_video_thumb/1200352005551575042/pu/img/k3RCFqhSsy7Qo80A.jpg,小島秀夫,Kojima_Hideo,2010/2/24 10:57,Undetermined,89734,842522,918,1472,10030,故郷は地球,いいえ,はい,https://t.co/mjgi1YIiCK,ゲームデザイナー：僕の体の70%は映画でできている,http://pbs.twimg.com/profile_images/914359829912629248/q823E-P8_normal.jpg,3579,25.0724
